prompt_id,objetivo,nivel,dias_por_semana,rango_peso,peso_kg,altura_cm,edad,sexo,lesiones,equipamiento,objetivo_nutricional,entregables
RAG-DEF-AVA-3D-MEDIO,Definición,Avanzado,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-3D-ALTO,Definición,Avanzado,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-4D-LIVIANO,Definición,Avanzado,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-4D-MEDIO,Definición,Avanzado,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-4D-ALTO,Definición,Avanzado,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-5D-LIVIANO,Definición,Avanzado,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-5D-MEDIO,Definición,Avanzado,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-5D-ALTO,Definición,Avanzado,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-6D-LIVIANO,Definición,Avanzado,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-6D-MEDIO,Definición,Avanzado,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-DEF-AVA-6D-ALTO,Definición,Avanzado,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_moderado_preservar_musculo,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-3D-LIVIANO,Bajar de peso,Inicial,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-3D-MEDIO,Bajar de peso,Inicial,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-3D-ALTO,Bajar de peso,Inicial,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-4D-LIVIANO,Bajar de peso,Inicial,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-4D-MEDIO,Bajar de peso,Inicial,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-4D-ALTO,Bajar de peso,Inicial,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-5D-LIVIANO,Bajar de peso,Inicial,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-5D-MEDIO,Bajar de peso,Inicial,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-5D-ALTO,Bajar de peso,Inicial,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-6D-LIVIANO,Bajar de peso,Inicial,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-6D-MEDIO,Bajar de peso,Inicial,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INI-6D-ALTO,Bajar de peso,Inicial,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-3D-LIVIANO,Bajar de peso,Intermedio,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-3D-MEDIO,Bajar de peso,Intermedio,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-3D-ALTO,Bajar de peso,Intermedio,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-4D-LIVIANO,Bajar de peso,Intermedio,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-4D-MEDIO,Bajar de peso,Intermedio,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-4D-ALTO,Bajar de peso,Intermedio,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-5D-LIVIANO,Bajar de peso,Intermedio,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-5D-MEDIO,Bajar de peso,Intermedio,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-5D-ALTO,Bajar de peso,Intermedio,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-6D-LIVIANO,Bajar de peso,Intermedio,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-6D-MEDIO,Bajar de peso,Intermedio,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-INT-6D-ALTO,Bajar de peso,Intermedio,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-3D-LIVIANO,Bajar de peso,Avanzado,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-3D-MEDIO,Bajar de peso,Avanzado,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-3D-ALTO,Bajar de peso,Avanzado,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-4D-LIVIANO,Bajar de peso,Avanzado,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-4D-MEDIO,Bajar de peso,Avanzado,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-4D-ALTO,Bajar de peso,Avanzado,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-5D-LIVIANO,Bajar de peso,Avanzado,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-5D-MEDIO,Bajar de peso,Avanzado,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-5D-ALTO,Bajar de peso,Avanzado,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-6D-LIVIANO,Bajar de peso,Avanzado,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-6D-MEDIO,Bajar de peso,Avanzado,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-BPE-AVA-6D-ALTO,Bajar de peso,Avanzado,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",deficit_sostenible_adherencia,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-3D-LIVIANO,Aumentar fuerza,Inicial,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-3D-MEDIO,Aumentar fuerza,Inicial,3,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-3D-ALTO,Aumentar fuerza,Inicial,3,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-4D-LIVIANO,Aumentar fuerza,Inicial,4,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-4D-MEDIO,Aumentar fuerza,Inicial,4,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-4D-ALTO,Aumentar fuerza,Inicial,4,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-5D-LIVIANO,Aumentar fuerza,Inicial,5,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-5D-MEDIO,Aumentar fuerza,Inicial,5,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-5D-ALTO,Aumentar fuerza,Inicial,5,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-6D-LIVIANO,Aumentar fuerza,Inicial,6,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-6D-MEDIO,Aumentar fuerza,Inicial,6,medio,78,172,40,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INI-6D-ALTO,Aumentar fuerza,Inicial,6,alto,95,176,49,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
RAG-FUE-INT-3D-LIVIANO,Aumentar fuerza,Intermedio,3,liviano,60,165,35,masculino/femenino,sin lesiones reportadas,"gimnasio completo: máquinas, poleas, barras, mancuernas, banco, cardio",energia_rendimiento_fuerza,"rutina_texto,dieta_texto,json_rutina_dieta,pdf_rutina,pdf_dieta"
